   122,     3,     0,
   122,     3,     0,
   120,     5,     0,
   120,     4,     1,
   119,     5,     1,
   119,     5,     1,
   116,     7,     2,
   116,     7,     2,
   116,     7,     2,
   113,    10,     2,
   112,    11,     2,
   106,    17,     2,
   104,    18,     3,
   101,    20,     4,
   100,    19,     6,
   100,    19,     6,
   100,    17,     8,
    99,    18,     8,
    96,    20,     9,
    96,    19,    10,
    92,    22,    11,
    90,    22,    13,
    87,    24,    14,
    84,    25,    16,
    83,    25,    17,
    80,    26,    19,
    77,    27,    21,
    77,    26,    22,
    77,    24,    24,
    74,    27,    24,
    71,    29,    25,
    68,    31,    26,
    66,    31,    28,
    64,    33,    28,
    60,    36,    29,
    55,    39,    31,
    53,    40,    32,
    51,    42,    32,
    47,    44,    34,
    41,    48,    36,
    38,    47,    40,
    35,    47,    43,
    31,    49,    45,
    28,    49,    48,
    27,    48,    50,
    26,    48,    51,
    24,    48,    53,
    23,    46,    56,
    21,    47,    57,
    20,    46,    59,
    18,    46,    61,
    16,    44,    65,
    14,    41,    70,
    12,    43,    70,
    12,    40,    73,
    11,    41,    73,
    11,    39,    75,
    10,    39,    76,
     9,    39,    77,
     9,    36,    80,
     9,    32,    84,
     9,    27,    89,
     8,    27,    90,
     8,    26,    91,
     8,    26,    91,
     7,    26,    92,
     7,    25,    93,
     7,    22,    96,
     7,    20,    98,
     7,    18,   100,
     7,    17,   101,
     6,    16,   103,
     6,    16,   103,
     5,    16,   104,
     5,    14,   106,
     5,    13,   107,
     5,    12,   108,
     5,    12,   108,
     5,    11,   109,
     5,    11,   109,
     5,    11,   109,
     5,    10,   110,
     5,    10,   110,
     5,     9,   111,
     5,     9,   111,
     5,     9,   111,
     5,     8,   112,
     5,     8,   112,
     4,     9,   112,
     4,     9,   112,
     4,     9,   112,
     4,     8,   113,
     4,     8,   113,
     4,     8,   113,
     4,     8,   113,
     4,     8,   113,
     4,     7,   114,
     4,     6,   115,
     4,     6,   115,
     4,     6,   115,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     3,   118,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     2,   119,
     4,     1,   120,
     4,     1,   120,
     4,     1,   120,
     4,     1,   120,
     4,     1,   120,
     4,     1,   120,
     4,     0,   121,
     4,     0,   121,
     4,     0,   121,
     4,     0,   121,
     4,     0,   121,
